Policy Scope,Policy Duration,Enforcement Intensity,Best Advocacy Method
State,Short-Term,Minimal,Meme Campaign
Province,Long-Term,Punitive,Public Comment
Global,Short-Term,Surveillance-Based,Podcast
Cross-Border,Medium-Term,Community-Enforced,Public Art
National,Short-Term,Community-Enforced,Newsletter
State,Short-Term,Minimal,Op-ed
Cross-Border,Medium-Term,Surveillance-Based,Lawsuit
National,Temporary,Surveillance-Based,Public Art
Province,Long-Term,Symbolic Only,Social Media Campaign
County,Long-Term,Not Enforced,Lawsuit
International,Trial,Symbolic Only,Meme Campaign
Region,Short-Term,Punitive,Petition
State,Short-Term,Light Enforcement,Public Art
Province,Permanent,Light Enforcement,Viral Video
Region,Trial,Symbolic Only,Meme Campaign
Continental,Temporary,Punitive,Join Advocacy Group
Neighborhood,Temporary,Punitive,Petition
Province,Medium-Term,Symbolic Only,Op-ed
State,Temporary,Surveillance-Based,Documentary
Continental,Trial,Punitive,Protest
Region,Medium-Term,Moderate Enforcement,Newsletter
National,Permanent,Moderate Enforcement,Public Poll
State,Permanent,Light Enforcement,Academic Paper
Continental,Permanent,Community-Enforced,Citizen Report
County,Medium-Term,Community-Enforced,Public Art
County,Trial,Minimal,Meme Campaign
Province,Temporary,Symbolic Only,Podcast
State,Long-Term,Light Enforcement,GoFundMe Awareness
International,Long-Term,Minimal,Meme Campaign
Cross-Border,Short-Term,Light Enforcement,Protest
Province,Temporary,Punitive,Public Comment
International,Trial,Not Enforced,Lawsuit
National,Permanent,Surveillance-Based,Newsletter
County,Temporary,Not Enforced,Public Comment
National,Long-Term,Community-Enforced,Citizen Report
National,Temporary,Moderate Enforcement,Citizen Report
County,Trial,Light Enforcement,GoFundMe Awareness
Neighborhood,Temporary,Symbolic Only,Petition
National,Permanent,Symbolic Only,Podcast
City,Long-Term,Light Enforcement,Public Art
County,Short-Term,Surveillance-Based,Social Media Campaign
Continental,Short-Term,Moderate Enforcement,Newsletter
Province,Medium-Term,Moderate Enforcement,Podcast
National,Trial,Strict Enforcement,Media Outreach
International,Temporary,Community-Enforced,Public Comment
National,Trial,Moderate Enforcement,Op-ed
City,Trial,Symbolic Only,Town Hall
Province,Permanent,Moderate Enforcement,Protest
County,Long-Term,Light Enforcement,Social Media Campaign
County,Short-Term,Symbolic Only,Op-ed
International,Permanent,Strict Enforcement,Influencer Collaboration
National,Temporary,Moderate Enforcement,Documentary
County,Temporary,Surveillance-Based,Lawsuit
Continental,Permanent,Surveillance-Based,Documentary
National,Short-Term,Community-Enforced,Direct Email to Representative
County,Medium-Term,Surveillance-Based,Media Outreach
County,Long-Term,Moderate Enforcement,Public Art
State,Medium-Term,Punitive,Social Media Campaign
Neighborhood,Long-Term,Strict Enforcement,Public Art
City,Trial,Punitive,Public Comment
Neighborhood,Permanent,Moderate Enforcement,Citizen Report
Cross-Border,Permanent,Surveillance-Based,Town Hall
Continental,Long-Term,Surveillance-Based,Op-ed
State,Short-Term,Minimal,Social Media Campaign
Continental,Short-Term,Punitive,Documentary
Cross-Border,Medium-Term,Light Enforcement,Public Poll
National,Medium-Term,Surveillance-Based,Public Poll
State,Trial,Moderate Enforcement,Influencer Collaboration
Continental,Permanent,Not Enforced,Citizen Report
International,Permanent,Not Enforced,Academic Paper
State,Trial,Strict Enforcement,Academic Paper
County,Trial,Strict Enforcement,Meme Campaign
National,Short-Term,Minimal,Op-ed
International,Medium-Term,Symbolic Only,Podcast
Global,Temporary,Strict Enforcement,Public Art
National,Long-Term,Surveillance-Based,Direct Email to Representative
State,Long-Term,Punitive,Media Outreach
Province,Short-Term,Strict Enforcement,Protest
International,Permanent,Not Enforced,Viral Video
Province,Permanent,Symbolic Only,Meme Campaign
County,Short-Term,Punitive,Documentary
Province,Long-Term,Symbolic Only,Social Media Campaign
Cross-Border,Temporary,Strict Enforcement,Social Media Campaign
Cross-Border,Temporary,Light Enforcement,Op-ed
National,Temporary,Punitive,Lobby Group
International,Short-Term,Surveillance-Based,Protest
Neighborhood,Trial,Light Enforcement,Petition
International,Medium-Term,Minimal,Meme Campaign
Neighborhood,Trial,Surveillance-Based,Public Comment
Cross-Border,Short-Term,Light Enforcement,Viral Video
County,Long-Term,Minimal,Meme Campaign
Cross-Border,Medium-Term,Strict Enforcement,Lawsuit
Cross-Border,Medium-Term,Punitive,Meme Campaign
State,Trial,Symbolic Only,Meme Campaign
National,Temporary,Moderate Enforcement,Academic Paper
State,Temporary,Community-Enforced,Podcast
County,Trial,Punitive,Citizen Report
Region,Trial,Symbolic Only,Podcast
County,Short-Term,Minimal,Social Media Campaign
Global,Medium-Term,Community-Enforced,Media Outreach
Province,Medium-Term,Community-Enforced,Public Comment
Province,Long-Term,Community-Enforced,Viral Video
County,Trial,Strict Enforcement,GoFundMe Awareness
Neighborhood,Long-Term,Moderate Enforcement,Join Advocacy Group
Cross-Border,Long-Term,Strict Enforcement,Public Comment
Province,Medium-Term,Community-Enforced,Town Hall
Neighborhood,Temporary,Community-Enforced,Petition
Province,Medium-Term,Not Enforced,Protest
Region,Short-Term,Strict Enforcement,Academic Paper
Cross-Border,Medium-Term,Minimal,Op-ed
City,Short-Term,Minimal,Meme Campaign
Province,Long-Term,Minimal,Op-ed
County,Medium-Term,Minimal,Social Media Campaign
International,Short-Term,Minimal,Meme Campaign
Continental,Temporary,Light Enforcement,Direct Email to Representative
State,Short-Term,Symbolic Only,Social Media Campaign
National,Medium-Term,Not Enforced,Podcast
Province,Long-Term,Minimal,Meme Campaign
Global,Long-Term,Not Enforced,Public Poll
Global,Trial,Punitive,Public Art
State,Long-Term,Punitive,Influencer Collaboration
County,Short-Term,Punitive,Petition
Global,Temporary,Moderate Enforcement,GoFundMe Awareness
Cross-Border,Medium-Term,Strict Enforcement,Join Advocacy Group
State,Permanent,Not Enforced,Documentary
County,Long-Term,Light Enforcement,Protest
Region,Long-Term,Strict Enforcement,Public Art
National,Permanent,Minimal,Meme Campaign
International,Long-Term,Surveillance-Based,Meme Campaign
Region,Trial,Light Enforcement,GoFundMe Awareness
Global,Short-Term,Minimal,Op-ed
Province,Long-Term,Minimal,Meme Campaign
International,Temporary,Community-Enforced,Influencer Collaboration
Province,Permanent,Surveillance-Based,Town Hall
Global,Permanent,Strict Enforcement,Documentary
County,Short-Term,Light Enforcement,Public Art
National,Long-Term,Minimal,Op-ed
Region,Long-Term,Strict Enforcement,Direct Email to Representative
Province,Medium-Term,Punitive,Influencer Collaboration
Global,Temporary,Punitive,Lawsuit
Continental,Medium-Term,Community-Enforced,Lawsuit
Province,Trial,Surveillance-Based,Media Outreach
Cross-Border,Short-Term,Surveillance-Based,Direct Email to Representative
Province,Short-Term,Minimal,Meme Campaign
Province,Short-Term,Not Enforced,Documentary
County,Permanent,Minimal,Meme Campaign
International,Trial,Surveillance-Based,Documentary
Global,Permanent,Strict Enforcement,Public Comment
National,Permanent,Minimal,Op-ed
Cross-Border,Temporary,Minimal,Social Media Campaign
National,Trial,Minimal,Op-ed
Global,Trial,Symbolic Only,Podcast
Global,Trial,Minimal,Podcast
Region,Long-Term,Minimal,Social Media Campaign
Global,Trial,Community-Enforced,Newsletter
Region,Permanent,Strict Enforcement,Public Poll
Province,Temporary,Punitive,Protest
County,Short-Term,Minimal,Podcast
County,Temporary,Punitive,Viral Video
Continental,Short-Term,Punitive,Citizen Report
Region,Long-Term,Strict Enforcement,Viral Video
City,Trial,Not Enforced,Public Comment
Global,Short-Term,Light Enforcement,Public Poll
Region,Medium-Term,Minimal,Social Media Campaign
Neighborhood,Trial,Surveillance-Based,Town Hall
State,Medium-Term,Community-Enforced,Join Advocacy Group
Neighborhood,Short-Term,Community-Enforced,Viral Video
County,Short-Term,Minimal,Social Media Campaign
National,Long-Term,Strict Enforcement,Media Outreach
Cross-Border,Long-Term,Moderate Enforcement,Town Hall
National,Temporary,Community-Enforced,Join Advocacy Group
National,Temporary,Surveillance-Based,Viral Video
County,Trial,Not Enforced,Viral Video
State,Temporary,Minimal,Podcast
Province,Short-Term,Light Enforcement,Petition
Neighborhood,Trial,Moderate Enforcement,Town Hall
County,Trial,Punitive,Protest
Region,Temporary,Symbolic Only,Meme Campaign
Province,Temporary,Strict Enforcement,Documentary
Continental,Permanent,Moderate Enforcement,Academic Paper
Neighborhood,Short-Term,Punitive,Media Outreach
Region,Long-Term,Not Enforced,Public Poll
Region,Medium-Term,Strict Enforcement,Newsletter
International,Trial,Symbolic Only,Podcast
City,Short-Term,Minimal,Meme Campaign
Region,Permanent,Light Enforcement,Lawsuit
Global,Permanent,Not Enforced,Op-ed
Continental,Short-Term,Symbolic Only,Meme Campaign
Continental,Long-Term,Light Enforcement,Public Art
Global,Permanent,Moderate Enforcement,GoFundMe Awareness
Global,Long-Term,Light Enforcement,Petition
Neighborhood,Long-Term,Punitive,Direct Email to Representative
Region,Medium-Term,Community-Enforced,Newsletter
Continental,Temporary,Not Enforced,Influencer Collaboration
County,Temporary,Light Enforcement,Meme Campaign
National,Medium-Term,Symbolic Only,Podcast
County,Medium-Term,Not Enforced,Protest
Cross-Border,Medium-Term,Surveillance-Based,Academic Paper
Global,Temporary,Moderate Enforcement,Viral Video
National,Temporary,Moderate Enforcement,Direct Email to Representative
Province,Medium-Term,Light Enforcement,Lawsuit
Continental,Temporary,Minimal,Podcast
Cross-Border,Long-Term,Punitive,Op-ed
Province,Temporary,Surveillance-Based,Op-ed
City,Trial,Moderate Enforcement,Petition
Continental,Permanent,Moderate Enforcement,Viral Video
Global,Trial,Punitive,Influencer Collaboration
International,Long-Term,Minimal,Op-ed
National,Permanent,Not Enforced,Citizen Report
International,Long-Term,Not Enforced,Join Advocacy Group
County,Permanent,Community-Enforced,Documentary
Neighborhood,Long-Term,Community-Enforced,Op-ed
Global,Short-Term,Symbolic Only,Social Media Campaign
Neighborhood,Medium-Term,Light Enforcement,Citizen Report
Cross-Border,Short-Term,Moderate Enforcement,Public Art
Neighborhood,Permanent,Strict Enforcement,Public Poll
Region,Temporary,Community-Enforced,Documentary
National,Medium-Term,Not Enforced,Academic Paper
County,Medium-Term,Not Enforced,Public Art
City,Medium-Term,Surveillance-Based,Town Hall
International,Medium-Term,Community-Enforced,Citizen Report
Cross-Border,Long-Term,Light Enforcement,Media Outreach
Region,Permanent,Punitive,Media Outreach
State,Permanent,Not Enforced,Meme Campaign
Global,Medium-Term,Light Enforcement,Newsletter
National,Long-Term,Moderate Enforcement,Public Art
Global,Long-Term,Community-Enforced,Public Art
City,Medium-Term,Community-Enforced,Join Advocacy Group
City,Temporary,Symbolic Only,Petition
Region,Trial,Strict Enforcement,Influencer Collaboration
Province,Long-Term,Light Enforcement,Podcast
National,Short-Term,Community-Enforced,GoFundMe Awareness
Continental,Long-Term,Minimal,Social Media Campaign
Neighborhood,Trial,Surveillance-Based,Petition
Cross-Border,Temporary,Community-Enforced,Newsletter
Province,Medium-Term,Community-Enforced,Social Media Campaign
Cross-Border,Temporary,Surveillance-Based,Media Outreach
Region,Temporary,Community-Enforced,Documentary
International,Long-Term,Strict Enforcement,Documentary
County,Trial,Community-Enforced,Viral Video
County,Trial,Symbolic Only,Social Media Campaign
International,Permanent,Community-Enforced,Public Art
State,Medium-Term,Minimal,Social Media Campaign
Global,Permanent,Not Enforced,Town Hall
Neighborhood,Medium-Term,Symbolic Only,Op-ed
National,Long-Term,Punitive,Lobby Group
Cross-Border,Permanent,Light Enforcement,Protest
Province,Long-Term,Minimal,Op-ed
City,Permanent,Surveillance-Based,Join Advocacy Group
Cross-Border,Permanent,Surveillance-Based,Protest
National,Permanent,Punitive,Media Outreach
State,Long-Term,Surveillance-Based,Media Outreach
Region,Trial,Minimal,Social Media Campaign
Region,Permanent,Strict Enforcement,Documentary
National,Short-Term,Surveillance-Based,Podcast
International,Temporary,Surveillance-Based,Public Poll
Province,Short-Term,Symbolic Only,Op-ed
County,Medium-Term,Strict Enforcement,Petition
Cross-Border,Short-Term,Punitive,Op-ed
State,Long-Term,Not Enforced,Meme Campaign
Province,Long-Term,Punitive,GoFundMe Awareness
City,Short-Term,Surveillance-Based,Social Media Campaign
County,Medium-Term,Symbolic Only,Meme Campaign
County,Trial,Community-Enforced,Op-ed
Province,Permanent,Punitive,Direct Email to Representative
Province,Long-Term,Minimal,Podcast
City,Permanent,Moderate Enforcement,Influencer Collaboration
City,Medium-Term,Light Enforcement,Join Advocacy Group
County,Medium-Term,Not Enforced,Public Comment
International,Temporary,Community-Enforced,Town Hall
Neighborhood,Medium-Term,Punitive,Influencer Collaboration
State,Medium-Term,Symbolic Only,Op-ed
National,Trial,Community-Enforced,Social Media Campaign
Continental,Long-Term,Minimal,Op-ed
Province,Temporary,Minimal,Op-ed
City,Trial,Not Enforced,Petition
Continental,Medium-Term,Surveillance-Based,Meme Campaign
County,Trial,Punitive,Meme Campaign
Cross-Border,Medium-Term,Community-Enforced,Op-ed
Global,Trial,Community-Enforced,Social Media Campaign
Cross-Border,Trial,Symbolic Only,Op-ed
Province,Permanent,Light Enforcement,Documentary
City,Permanent,Minimal,Meme Campaign
Region,Long-Term,Minimal,Podcast
National,Medium-Term,Surveillance-Based,Media Outreach
County,Permanent,Strict Enforcement,Academic Paper
State,Long-Term,Light Enforcement,Documentary
Region,Medium-Term,Surveillance-Based,Influencer Collaboration
Region,Long-Term,Symbolic Only,Meme Campaign
Cross-Border,Short-Term,Not Enforced,Citizen Report
Region,Medium-Term,Surveillance-Based,Town Hall
National,Medium-Term,Minimal,Meme Campaign
Province,Temporary,Moderate Enforcement,Podcast
National,Temporary,Surveillance-Based,Protest
Cross-Border,Temporary,Surveillance-Based,Academic Paper
International,Long-Term,Punitive,Lobby Group
Cross-Border,Temporary,Symbolic Only,Op-ed
National,Temporary,Minimal,Podcast
Continental,Permanent,Surveillance-Based,Public Comment
National,Trial,Punitive,Media Outreach
State,Trial,Symbolic Only,Meme Campaign
International,Medium-Term,Moderate Enforcement,Newsletter
Region,Trial,Minimal,Op-ed
Province,Medium-Term,Light Enforcement,Newsletter
City,Short-Term,Light Enforcement,Influencer Collaboration
Province,Medium-Term,Community-Enforced,Public Poll
City,Permanent,Punitive,Academic Paper
Region,Trial,Light Enforcement,Podcast
Region,Permanent,Not Enforced,Lawsuit
City,Temporary,Community-Enforced,Town Hall
Continental,Trial,Symbolic Only,Meme Campaign
County,Permanent,Moderate Enforcement,Petition
State,Medium-Term,Community-Enforced,Newsletter
Cross-Border,Short-Term,Symbolic Only,Social Media Campaign
County,Long-Term,Not Enforced,Documentary
Neighborhood,Short-Term,Minimal,Op-ed
Province,Long-Term,Community-Enforced,Public Art
International,Permanent,Light Enforcement,Academic Paper
Neighborhood,Long-Term,Moderate Enforcement,Newsletter
Province,Long-Term,Community-Enforced,Social Media Campaign
Region,Long-Term,Moderate Enforcement,Public Comment
State,Trial,Minimal,Op-ed
Neighborhood,Temporary,Strict Enforcement,Town Hall
International,Trial,Symbolic Only,Meme Campaign
National,Medium-Term,Community-Enforced,Protest
Neighborhood,Medium-Term,Surveillance-Based,Meme Campaign
Region,Permanent,Moderate Enforcement,Lawsuit
City,Medium-Term,Punitive,Lawsuit
National,Temporary,Punitive,Documentary
International,Medium-Term,Punitive,Influencer Collaboration
Global,Trial,Surveillance-Based,Public Comment
Region,Temporary,Strict Enforcement,Documentary
Region,Trial,Surveillance-Based,Public Poll
Global,Trial,Symbolic Only,Social Media Campaign
City,Trial,Community-Enforced,Petition
State,Long-Term,Punitive,Academic Paper
State,Short-Term,Surveillance-Based,Op-ed
Region,Temporary,Strict Enforcement,Viral Video
Cross-Border,Trial,Community-Enforced,Media Outreach
Region,Long-Term,Not Enforced,Public Poll
Cross-Border,Long-Term,Punitive,Protest
